room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
19152890,109175273,Entire home/apt,Inner Sydney,4,5,8,4,1559,-33.8617,151.205582,Millers Point
13143645,73284964,Shared room,Eastern Suburbs,0,0,2,1,156,-33.914356,151.243936,Randwick
10254115,52712976,Shared room,Inner Sydney,1,0,2,1,70,-33.879493,151.19752,Ultimo
8276277,34923740,Shared room,Eastern Suburbs,5,4,8,1,50,-33.891154,151.272758,Bondi Beach
11970764,63952900,Shared room,Lower Northern Sydney,0,0,2,1,43,-33.827963,151.189051,Greenwich
18063010,61148901,Shared room,Northern Beaches,1,0,2,1,46,-33.797081,151.28625,Manly
10076370,51300639,Shared room,Inner Sydney,2,0,2,1,46,-33.881174,151.19727,Ultimo
14892109,93437100,Shared room,Northern Beaches,6,5,2,1,50,-33.787966,151.270589,Balgowlah
7011034,36756718,Shared room,Eastern Suburbs,16,3.5,8,1,41,-33.919646,151.25759,Coogee
7009512,34923740,Shared room,Eastern Suburbs,3,3,8,1,41,-33.890967,151.274107,Bondi Beach
17465793,118285423,Shared room,Fairfield-Liverpool,0,0,1,1,391,-33.921069,150.927184,Liverpool
5971289,28837657,Shared room,Northern Beaches,0,0,2,1,234,-33.805825,151.288917,Manly
16133060,36089529,Shared room,Lower Northern Sydney,0,0,2,1,222,-33.847101,151.210293,Milsons Point
12981421,71473668,Shared room,Inner Western Sydney,6,3.5,1,1,226,-33.884906,151.084259,Strathfield
9942469,51096785,Shared room,Inner Sydney,1,0,6,1,195,-33.871315,151.222892,Potts Point
12860774,70298528,Shared room,Inner Sydney,0,0,1,1,195,-33.872102,151.195907,Pyrmont
11681688,60951892,Shared room,Inner Sydney,0,0,1,1,156,-33.895919,151.173606,Newtown
10156457,52126776,Shared room,Inner Sydney,0,0,2,1,155,-33.925279,151.226762,Daceyville
18827886,131107463,Shared room,Eastern Suburbs,0,0,1,1,180,-33.892825,151.246516,Bondi Junction
15076582,29716820,Shared room,Inner Sydney,2,0,1,1,156,-33.895761,151.181632,Newtown
16082744,25009294,Shared room,Central Northern Sydney,0,0,4,1,101,-33.779177,151.197421,Roseville Chase
4582454,23597108,Shared room,Northern Beaches,0,0,2,1,101,-33.661051,151.32142,Newport
10439062,53777234,Shared room,Eastern Suburbs,6,5,2,1,94,-33.915714,151.256952,Coogee
8598248,45249330,Shared room,Eastern Suburbs,8,5,3,1,85,-33.909364,151.261507,Clovelly
9565306,25009294,Shared room,Central Northern Sydney,3,4.5,4,1,85,-33.770612,151.072701,Epping
19303363,104103535,Shared room,Inner Sydney,0,0,4,1,94,-33.883895,151.201567,Ultimo
3586074,18067386,Shared room,Inner Sydney,4,5,2,1,94,-33.88549,151.223832,Paddington
18475503,127954946,Shared room,Inner Sydney,1,0,2,1,101,-33.87102,151.208144,Sydney
6319418,32884256,Shared room,St George-Sutherland,0,0,1,1,63,-33.932655,151.147381,Arncliffe
16511073,108313355,Shared room,Inner Sydney,1,0,2,1,79,-33.856072,151.200917,Barangaroo
4343296,13517647,Shared room,Northern Beaches,0,0,2,1,78,-33.796891,151.285419,Manly
15035623,94953602,Shared room,Inner Sydney,0,0,1,1,70,-33.884212,151.194991,Ultimo
4883654,25124690,Shared room,Eastern Suburbs,0,0,1,1,77,-33.909613,151.238895,Randwick
10812271,55979918,Shared room,Lower Northern Sydney,0,0,2,1,70,-33.789015,151.086344,Eastwood
16678430,105734083,Shared room,Inner Sydney,1,0,2,1,63,-33.874055,151.196805,Pyrmont
